Time	CpX	CpY	BottomLeft	BottomRight	TopLeft	TopRight	Weight	RAWBottomLeft	RAWBottomRight	RAWTopLeft	RAWTopRight
0.000     	     0.568	    -3.999	    -0.463	    -0.815	    -0.468	    -0.167	    -0.195	     15918	      5350	      8796	     10342
0.023     	    20.379	     3.023	     0.112	    -0.815	    -0.167	    -1.016	    -0.192	     15924	      5350	      8799	     10333
0.048     	    13.747	     1.796	     0.207	    -0.815	    -0.468	    -0.355	    -0.146	     15925	      5350	      8796	     10340
0.073     	    28.846	    -9.603	    -0.080	    -0.218	     0.135	    -0.167	    -0.034	     15922	      5356	      8802	     10342
0.101     	     6.942	     2.904	    -0.176	    -0.317	    -0.267	    -0.544	    -0.133	     15921	      5355	      8798	     10338
0.123     	     6.942	     2.904	    -0.176	    -0.317	    -0.267	    -0.544	    -0.133	     15921	      5355	      8798	     10338
0.148     	     0.803	     8.561	     0.016	    -0.118	    -0.368	    -0.261	    -0.075	     15923	      5357	      8797	     10341
0.173     	    15.364	     2.515	    -0.080	    -0.317	    -0.066	    -0.544	    -0.103	     15922	      5355	      8800	     10338
0.199     	   -20.658	   -31.592	    -0.654	    -0.317	     0.135	     0.305	    -0.054	     15916	      5355	      8802	     10347
0.223     	     3.094	    -4.447	    -0.271	    -0.914	    -0.468	    -0.072	    -0.176	     15920	      5349	      8796	     10343
0.248     	     0.795	    -3.957	    -0.176	    -0.715	    -0.468	     0.022	    -0.136	     15921	      5351	      8796	     10344
0.273     	     7.466	   -10.880	    -0.271	    -0.715	    -0.066	     0.022	    -0.105	     15920	      5351	      8800	     10344
0.297     	    12.301	    -0.856	    -0.271	    -0.317	     0.034	    -0.544	    -0.112	     15920	      5355	      8801	     10338
0.323     	   -53.115	    58.633	     0.112	     0.180	    -0.368	    -0.072	    -0.015	     15924	      5360	      8797	     10343
0.348     	    -1.010	     3.186	    -0.463	    -0.118	    -0.368	    -0.638	    -0.162	     15918	      5357	      8797	     10337
0.373     	     4.461	    -1.213	    -0.271	    -0.616	    -0.368	    -0.355	    -0.164	     15920	      5352	      8797	     10340
